entry_time,exit_time,side,contracts,entry_price,exit_price,pnl_points,gross_pnl,net_pnl,commission_exit,slippage_points_assumed
2020-03-23 16:42:00+00:00,2020-03-23 16:53:00+00:00,SHORT,1,6999.75,7032.5,-32.75,-65.5,-66.0,0.5,0.25
2020-03-23 16:56:00+00:00,2020-03-23 17:01:00+00:00,SHORT,1,7094.5,7049.5,45.0,90.0,89.5,0.5,0.25
2020-03-23 17:14:00+00:00,2020-03-23 17:16:00+00:00,SHORT,1,7123.75,7093.5,30.25,60.5,60.0,0.5,0.25
2020-03-23 19:05:00+00:00,2020-03-23 19:06:00+00:00,LONG,1,6955.5,6957.25,1.75,3.5,3.0,0.5,0.25
2020-03-23 22:01:00+00:00,2020-03-23 22:04:00+00:00,SHORT,1,7067.5,7049.25,18.25,36.5,36.0,0.5,0.25
2020-03-23 22:08:00+00:00,2020-03-23 22:09:00+00:00,SHORT,1,7082.75,7073.25,9.5,19.0,18.5,0.5,0.25
2020-03-23 23:12:00+00:00,2020-03-23 23:13:00+00:00,SHORT,1,7140.5,7141.5,-1.0,-2.0,-2.5,0.5,0.25
2020-03-23 23:17:00+00:00,2020-03-23 23:18:00+00:00,SHORT,1,7154.0,7157.5,-3.5,-7.0,-7.5,0.5,0.25
2020-03-23 23:19:00+00:00,2020-03-23 23:20:00+00:00,SHORT,1,7147.75,7147.25,0.5,1.0,0.5,0.5,0.25
2020-03-24 00:11:00+00:00,2020-03-24 00:14:00+00:00,LONG,1,7039.75,7066.25,26.5,53.0,52.5,0.5,0.25
2020-03-24 01:06:00+00:00,2020-03-24 01:12:00+00:00,SHORT,1,7165.0,7154.5,10.5,21.0,20.5,0.5,0.25
2020-03-24 01:15:00+00:00,2020-03-24 01:16:00+00:00,SHORT,1,7176.5,7188.75,-12.25,-24.5,-25.0,0.5,0.25
2020-03-24 01:18:00+00:00,2020-03-24 01:19:00+00:00,SHORT,1,7177.25,7164.0,13.25,26.5,26.0,0.5,0.25
2020-03-24 01:59:00+00:00,2020-03-24 02:01:00+00:00,SHORT,1,7240.0,7225.25,14.75,29.5,29.0,0.5,0.25
2020-03-24 03:14:00+00:00,2020-03-24 03:15:00+00:00,LONG,1,7203.75,7196.25,-7.5,-15.0,-15.5,0.5,0.25
2020-03-24 03:22:00+00:00,2020-03-24 03:23:00+00:00,LONG,1,7188.25,7195.75,7.5,15.0,14.5,0.5,0.25
2020-03-24 03:38:00+00:00,2020-03-24 03:40:00+00:00,LONG,1,7155.25,7170.25,15.0,30.0,29.5,0.5,0.25
2020-03-24 03:43:00+00:00,2020-03-24 03:47:00+00:00,LONG,1,7135.5,7146.5,11.0,22.0,21.5,0.5,0.25
2020-03-24 05:09:00+00:00,2020-03-24 05:10:00+00:00,SHORT,1,7224.75,7226.25,-1.5,-3.0,-3.5,0.5,0.25
2020-03-24 05:33:00+00:00,2020-03-24 05:36:00+00:00,LONG,1,7159.75,7160.5,0.75,1.5,1.0,0.5,0.25
2020-03-24 05:38:00+00:00,2020-03-24 05:42:00+00:00,LONG,1,7142.75,7159.0,16.25,32.5,32.0,0.5,0.25
2020-03-24 06:01:00+00:00,2020-03-24 06:02:00+00:00,SHORT,1,7216.0,7215.5,0.5,1.0,0.5,0.5,0.25
2020-03-24 06:12:00+00:00,2020-03-24 06:21:00+00:00,SHORT,1,7260.0,7280.25,-20.25,-40.5,-41.0,0.5,0.25
2020-03-24 06:30:00+00:00,2020-03-24 06:31:00+00:00,SHORT,1,7306.25,7291.25,15.0,30.0,29.5,0.5,0.25
2020-03-24 09:39:00+00:00,2020-03-24 09:41:00+00:00,SHORT,1,7351.75,7357.75,-6.0,-12.0,-12.5,0.5,0.25
2020-03-24 09:42:00+00:00,2020-03-24 09:46:00+00:00,SHORT,1,7358.25,7359.5,-1.25,-2.5,-3.0,0.5,0.25
2020-03-24 11:03:00+00:00,2020-03-24 11:12:00+00:00,LONG,1,7328.25,7324.75,-3.5,-7.0,-7.5,0.5,0.25
2020-03-24 11:19:00+00:00,2020-03-24 11:24:00+00:00,LONG,1,7279.5,7275.75,-3.75,-7.5,-8.0,0.5,0.25
2020-03-24 12:16:00+00:00,2020-03-24 12:17:00+00:00,LONG,1,7259.0,7259.5,0.5,1.0,0.5,0.5,0.25
2020-03-24 12:50:00+00:00,2020-03-24 12:57:00+00:00,SHORT,1,7329.5,7343.0,-13.5,-27.0,-27.5,0.5,0.25
2020-03-24 13:33:00+00:00,2020-03-24 13:38:00+00:00,SHORT,1,7395.0,7369.0,26.0,52.0,51.5,0.5,0.25
2020-03-24 14:27:00+00:00,2020-03-24 14:29:00+00:00,SHORT,1,7445.5,7422.25,23.25,46.5,46.0,0.5,0.25
2020-03-24 15:41:00+00:00,2020-03-24 15:42:00+00:00,SHORT,1,7449.75,7441.5,8.25,16.5,16.0,0.5,0.25
2020-03-24 16:29:00+00:00,2020-03-24 16:31:00+00:00,SHORT,1,7500.0,7491.25,8.75,17.5,17.0,0.5,0.25
2020-03-24 16:35:00+00:00,2020-03-24 16:37:00+00:00,SHORT,1,7503.75,7514.25,-10.5,-21.0,-21.5,0.5,0.25
2020-03-24 16:38:00+00:00,2020-03-24 16:41:00+00:00,SHORT,1,7514.75,7505.75,9.0,18.0,17.5,0.5,0.25
2020-03-24 16:41:00+00:00,2020-03-24 16:42:00+00:00,LONG,1,7505.75,7496.0,-9.75,-19.5,-20.0,0.5,0.25
2020-03-24 18:11:00+00:00,2020-03-24 18:12:00+00:00,LONG,1,7306.75,7314.75,8.0,16.0,15.5,0.5,0.25
2020-03-24 18:29:00+00:00,2020-03-24 18:30:00+00:00,LONG,1,7372.25,7352.0,-20.25,-40.5,-41.0,0.5,0.25
2020-03-24 19:53:00+00:00,2020-03-24 19:54:00+00:00,LONG,1,7470.25,7521.25,51.0,102.0,101.5,0.5,0.25
2020-03-24 22:33:00+00:00,2020-03-24 22:35:00+00:00,SHORT,1,7632.25,7626.5,5.75,11.5,11.0,0.5,0.25
2020-03-24 23:44:00+00:00,2020-03-24 23:50:00+00:00,LONG,1,7503.25,7488.25,-15.0,-30.0,-30.5,0.5,0.25
2020-03-24 23:55:00+00:00,2020-03-24 23:56:00+00:00,LONG,1,7482.25,7491.75,9.5,19.0,18.5,0.5,0.25
2020-03-25 00:36:00+00:00,2020-03-25 00:37:00+00:00,LONG,1,7453.0,7452.0,-1.0,-2.0,-2.5,0.5,0.25
2020-03-25 00:40:00+00:00,2020-03-25 00:42:00+00:00,LONG,1,7435.25,7436.75,1.5,3.0,2.5,0.5,0.25
2020-03-25 00:45:00+00:00,2020-03-25 00:46:00+00:00,LONG,1,7433.25,7440.25,7.0,14.0,13.5,0.5,0.25
2020-03-25 02:32:00+00:00,2020-03-25 02:33:00+00:00,LONG,1,7425.75,7422.75,-3.0,-6.0,-6.5,0.5,0.25
2020-03-25 03:23:00+00:00,2020-03-25 03:24:00+00:00,LONG,1,7427.5,7426.0,-1.5,-3.0,-3.5,0.5,0.25
2020-03-25 03:27:00+00:00,2020-03-25 03:28:00+00:00,LONG,1,7419.75,7427.5,7.75,15.5,15.0,0.5,0.25
2020-03-25 04:25:00+00:00,2020-03-25 04:28:00+00:00,LONG,1,7412.75,7407.25,-5.5,-11.0,-11.5,0.5,0.25
2020-03-25 04:29:00+00:00,2020-03-25 04:36:00+00:00,LONG,1,7387.5,7400.75,13.25,26.5,26.0,0.5,0.25
2020-03-25 04:59:00+00:00,2020-03-25 05:02:00+00:00,SHORT,1,7490.0,7462.25,27.75,55.5,55.0,0.5,0.25
2020-03-25 05:07:00+00:00,2020-03-25 05:09:00+00:00,SHORT,1,7526.5,7486.25,40.25,80.5,80.0,0.5,0.25
2020-03-25 06:00:00+00:00,2020-03-25 06:02:00+00:00,SHORT,1,7556.25,7526.5,29.75,59.5,59.0,0.5,0.25
2020-03-25 06:44:00+00:00,2020-03-25 06:45:00+00:00,SHORT,1,7559.0,7562.0,-3.0,-6.0,-6.5,0.5,0.25
2020-03-25 07:43:00+00:00,2020-03-25 07:49:00+00:00,SHORT,1,7614.0,7609.0,5.0,10.0,9.5,0.5,0.25
2020-03-25 07:52:00+00:00,2020-03-25 07:56:00+00:00,SHORT,1,7621.75,7622.75,-1.0,-2.0,-2.5,0.5,0.25
2020-03-25 07:58:00+00:00,2020-03-25 08:01:00+00:00,SHORT,1,7637.0,7617.5,19.5,39.0,38.5,0.5,0.25
2020-03-25 08:30:00+00:00,2020-03-25 08:31:00+00:00,SHORT,1,7670.75,7676.0,-5.25,-10.5,-11.0,0.5,0.25
2020-03-25 08:57:00+00:00,2020-03-25 09:00:00+00:00,SHORT,1,7704.25,7694.5,9.75,19.5,19.0,0.5,0.25
2020-03-25 09:06:00+00:00,2020-03-25 09:13:00+00:00,SHORT,1,7721.75,7735.75,-14.0,-28.0,-28.5,0.5,0.25
2020-03-25 09:15:00+00:00,2020-03-25 09:16:00+00:00,SHORT,1,7738.75,7738.25,0.5,1.0,0.5,0.5,0.25
2020-03-25 09:28:00+00:00,2020-03-25 09:29:00+00:00,SHORT,1,7745.25,7748.5,-3.25,-6.5,-7.0,0.5,0.25
2020-03-25 09:44:00+00:00,2020-03-25 09:46:00+00:00,LONG,1,7689.5,7709.25,19.75,39.5,39.0,0.5,0.25
2020-03-25 09:53:00+00:00,2020-03-25 09:54:00+00:00,LONG,1,7676.25,7666.25,-10.0,-20.0,-20.5,0.5,0.25
2020-03-25 10:11:00+00:00,2020-03-25 10:15:00+00:00,LONG,1,7641.0,7649.0,8.0,16.0,15.5,0.5,0.25
2020-03-25 10:36:00+00:00,2020-03-25 10:39:00+00:00,LONG,1,7568.75,7579.5,10.75,21.5,21.0,0.5,0.25
